dataset,method,implementation_tier,core_mechanism,official_status,upstream_path,n_repetitions,execution_backend,threshold_policy,test_labels_used_for_tuning,precision_mean,precision_ci95_low,precision_ci95_high,recall_mean,recall_ci95_low,recall_ci95_high,f1_mean,f1_ci95_low,f1_ci95_high,mcc_mean,mcc_ci95_low,mcc_ci95_high,auroc_mean,auroc_ci95_low,auroc_ci95_high,average_precision_mean,average_precision_ci95_low,average_precision_ci95_high,runtime_seconds_mean,ours_f1_reference,ours_reference_source,baseline_below_ours
StreamSpot,ProvX,method-faithful current-environment adaptation,corruption-trained neural provenance-graph detector,target datasets absent; compact Sample data only,D:\model code\ProvX-USENIX-artifact,5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail conformal threshold from benign validation only,False,0.9525537731989223,0.9347399542793071,0.9703675921185375,1.0,1.0,1.0,0.9756561898248295,0.9663120626784966,0.9850003169711624,0.9512757877751031,0.9325516557213936,0.9699999198288126,0.97608,0.960757292732803,0.9914027072671969,0.923229092588525,0.8830906018970553,0.9633675832799947,0.6691441399999998,0.9766495509125336,results/01_main_effectiveness/final_results.csv; five-split full-stream size-head mean,True
Unicorn-Wget,ProvX,method-faithful current-environment adaptation,corruption-trained neural provenance-graph detector,target datasets absent; compact Sample data only,D:\model code\ProvX-USENIX-artifact,5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail conformal threshold from benign validation only,False,0.8707282913165267,0.6077258091980486,1.0,0.6759999999999999,0.15055455461800327,1.0,0.7096343728561767,0.21557560691864358,1.0,0.6051678290386404,0.09952100176761325,1.0,0.95824,0.8816072179911956,1.0,0.9622675730318612,0.8778285399600376,1.0,0.060225319999999985,0.8997472296940625,results/01_main_effectiveness/final_results.csv; five-split attack-test-only full-stream mean,True
E3-CADETS-Causal,ProvX,method-faithful current-environment adaptation,corruption-trained neural provenance-graph detector,target datasets absent; compact Sample data only,D:\model code\ProvX-USENIX-artifact,5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail empirical threshold from unlabeled temporal validation; labels not accessed,False,0.03683522151607258,0.0,0.08005736476920898,0.059259259259259255,0.0,0.14279980245552015,0.04406174467150077,0.0,0.100009731691245,0.04507845522151758,-0.013832426388273589,0.10398933683130875,0.6617553534873564,0.6535164406355514,0.6699942663391614,0.013412000969035106,0.009746989587463395,0.017077012350606817,5.780820140000001,0.6111111111111112,results/16_e3_gpu_trajectory_ablation/final_results.csv; relation-path context gate,True
StreamSpot,ProvFusion,method-faithful current-environment adaptation,attribute/structural/causal multi-view anomaly fusion,full training and evaluation code not released in repository,D:\model code\ProvFusion-main,5,CPU statistical estimator in CUDA-enabled environment,upper-tail conformal threshold from benign validation only,False,0.9603740636699529,0.9249998348396226,0.9957482925002833,1.0,1.0,1.0,0.9796135193634832,0.9611342179565878,0.9980928207703785,0.9591854944416905,0.9221609302975343,0.9962100585858468,0.99,0.9812201096691492,0.9987798903308508,0.9764905847747893,0.9558680864903438,0.9971130830592349,0.027091619999998783,0.9766495509125336,results/01_main_effectiveness/final_results.csv; five-split full-stream size-head mean,False
Unicorn-Wget,ProvFusion,method-faithful current-environment adaptation,attribute/structural/causal multi-view anomaly fusion,full training and evaluation code not released in repository,D:\model code\ProvFusion-main,5,CPU statistical estimator in CUDA-enabled environment,upper-tail conformal threshold from benign validation only,False,0.5705357142857143,0.0,1.0,0.388,0.0,0.8922440149105194,0.4500985004101262,0.0,0.9931844495116697,0.3503322376226465,-0.11936682488867278,0.8200313001339657,0.92296,0.8467088083062443,0.9992111916937557,0.9350855775868077,0.8672100459277486,1.0,0.021222620000001767,0.8997472296940625,results/01_main_effectiveness/final_results.csv; five-split attack-test-only full-stream mean,True
E3-CADETS-Causal,ProvFusion,method-faithful current-environment adaptation,attribute/structural/causal multi-view anomaly fusion,full training and evaluation code not released in repository,D:\model code\ProvFusion-main,5,CPU statistical estimator in CUDA-enabled environment,upper-tail empirical threshold from unlabeled temporal validation; labels not accessed,False,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08503708597127103,0.08503708597127103,0.08503708597127103,0.8165319145361911,0.8165319145361911,0.8165319145361911,0.02347821015623506,0.02347821015623506,0.02347821015623506,3.0009746200000023,0.6111111111111112,results/16_e3_gpu_trajectory_ablation/final_results.csv; relation-path context gate,True
StreamSpot,AttributionGNN,method-faithful current-environment adaptation,denoising representation learning with node attribution scoring,native CADETS path requires Docker/PostgreSQL; graph datasets unsupported,"external upstream; see THIRD_PARTY_NOTICES.md",5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail conformal threshold from benign validation only,False,0.9528948629454218,0.9223066589075402,0.9834830669833035,1.0,1.0,1.0,0.9757484052652454,0.9596390083944891,0.9918578021360017,0.9514454417316275,0.9191473379629963,0.9837435455002587,0.9963000000000001,0.9899833585619265,1.0,0.9888473439555036,0.9682738964051665,1.0,0.24122474000000124,0.9766495509125336,results/01_main_effectiveness/final_results.csv; five-split full-stream size-head mean,True
Unicorn-Wget,AttributionGNN,method-faithful current-environment adaptation,denoising representation learning with node attribution scoring,native CADETS path requires Docker/PostgreSQL; graph datasets unsupported,"external upstream; see THIRD_PARTY_NOTICES.md",5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail conformal threshold from benign validation only,False,0.964395052332236,0.9201910962772828,1.0,0.836,0.5717851044031899,1.0,0.8798768386106234,0.7126195539961563,1.0,0.763214117208181,0.5429932372716219,0.9834349971447401,0.9823999999999999,0.9675000320215547,0.9972999679784452,0.9912244670791512,0.983519677822975,0.9989292563353275,0.08247602000000143,0.8997472296940625,results/01_main_effectiveness/final_results.csv; five-split attack-test-only full-stream mean,True
E3-CADETS-Causal,AttributionGNN,method-faithful current-environment adaptation,denoising representation learning with node attribution scoring,native CADETS path requires Docker/PostgreSQL; graph datasets unsupported,"external upstream; see THIRD_PARTY_NOTICES.md",5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail empirical threshold from unlabeled temporal validation; labels not accessed,False,0.09067736185383245,0.08315228824584285,0.09820243546182204,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.09977238177410738,0.09526098024489947,0.1042837833033153,0.0994594041632682,0.09528157532945568,0.10363723299708073,0.6625578666205892,0.6580720003520548,0.6670437328891237,0.05945767019390667,0.04303884263174154,0.0758764977560718,2.388150660000001,0.6111111111111112,results/16_e3_gpu_trajectory_ablation/final_results.csv; relation-path context gate,True
StreamSpot,THREATRACE,method-faithful current-environment adaptation,inductive benign-role classification and unseen-role scoring,parsed graph stores absent; upstream targets Linux and legacy PyG,D:\model code\threaTrace-master,5,CPU statistical estimator in CUDA-enabled environment,upper-tail conformal threshold from benign validation only,False,0.9406972310372202,0.9015613573431378,0.9798331047313027,1.0,1.0,1.0,0.9692247239434746,0.9484071130712315,0.9900423348157177,0.9383434850378578,0.896558997141554,0.9801279729341617,0.9973000000000001,0.9918948382327585,1.0,0.9907597400375293,0.9679262598546656,1.0,0.03966434000000163,0.9766495509125336,results/01_main_effectiveness/final_results.csv; five-split full-stream size-head mean,True
Unicorn-Wget,THREATRACE,method-faithful current-environment adaptation,inductive benign-role classification and unseen-role scoring,parsed graph stores absent; upstream targets Linux and legacy PyG,D:\model code\threaTrace-master,5,CPU statistical estimator in CUDA-enabled environment,upper-tail conformal threshold from benign validation only,False,0.9187170192048242,0.8283254336659334,1.0,0.6,0.21248941719740816,0.9875105828025919,0.6878757031470031,0.370275026165543,1.0,0.5106558744940772,0.17385076839662955,0.847460980591525,0.90176,0.7495283073583678,1.0,0.916005700432233,0.783509680314668,1.0,0.026879720000002293,0.8997472296940625,results/01_main_effectiveness/final_results.csv; five-split attack-test-only full-stream mean,True
E3-CADETS-Causal,THREATRACE,method-faithful current-environment adaptation,inductive benign-role classification and unseen-role scoring,parsed graph stores absent; upstream targets Linux and legacy PyG,D:\model code\threaTrace-master,5,CPU statistical estimator in CUDA-enabled environment,upper-tail empirical threshold from unlabeled temporal validation; labels not accessed,False,0.04121794871794872,0.0,0.08838997871495932,0.037037037037037035,0.0,0.09336005977006068,0.035968992248062014,0.0,0.08047417734505585,0.03688475825588518,-0.00903694106690927,0.08280645757867963,0.7029777460996278,0.6871133555405253,0.7188421366587303,0.016116790212391128,0.00546323359099864,0.026770346833783615,1.5494936200000011,0.6111111111111112,results/16_e3_gpu_trajectory_ablation/final_results.csv; relation-path context gate,True
StreamSpot,MAGIC,method-faithful current-environment adaptation,masked representation learning followed by embedding outlier detection,local DGL requires PyTorch >=2 while fixed environment is PyTorch 1.13,D:\model code\MAGIC-main,5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail conformal threshold from benign validation only,False,0.9454312660764153,0.9239431072830386,0.9669194248697919,1.0,1.0,1.0,0.9718854507599726,0.9605678968916948,0.9832030046282504,0.9437136446071779,0.9210261151442328,0.9664011740701229,0.9965300000000001,0.9905166403572805,1.0,0.9889937994755496,0.9663819638025587,1.0,0.22650893999999938,0.9766495509125336,results/01_main_effectiveness/final_results.csv; five-split full-stream size-head mean,True
Unicorn-Wget,MAGIC,method-faithful current-environment adaptation,masked representation learning followed by embedding outlier detection,local DGL requires PyTorch >=2 while fixed environment is PyTorch 1.13,D:\model code\MAGIC-main,5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail conformal threshold from benign validation only,False,0.9567627050820328,0.9121661545658275,1.0,0.8280000000000001,0.6139434647635842,1.0,0.878135505858278,0.7438984081126858,1.0,0.7351520659018745,0.5430843537793155,0.9272197780244336,0.95712,0.9010579148342299,1.0,0.9792661808752092,0.9507909925455289,1.0,0.07094397999999842,0.8997472296940625,results/01_main_effectiveness/final_results.csv; five-split attack-test-only full-stream mean,True
E3-CADETS-Causal,MAGIC,method-faithful current-environment adaptation,masked representation learning followed by embedding outlier detection,local DGL requires PyTorch >=2 while fixed environment is PyTorch 1.13,D:\model code\MAGIC-main,5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail empirical threshold from unlabeled temporal validation; labels not accessed,False,0.07503607503607504,0.03378576420063807,0.11628638587151201,0.07407407407407407,0.041555961737589464,0.10659218641055868,0.07072699179054845,0.03473663357394526,0.10671735000715163,0.07168520992022553,0.0378222002236081,0.10554821961684296,0.6288423556064325,0.6202906409917264,0.6373940702211387,0.025997493504220714,0.003764945010379595,0.04823004199806183,2.4009640199999978,0.6111111111111112,results/16_e3_gpu_trajectory_ablation/final_results.csv; relation-path context gate,True
StreamSpot,Kairos,method-faithful current-environment adaptation,temporal/context prediction error for provenance anomaly detection,upstream notebooks and native databases do not expose common cached split,D:\model code\kairos-main\kairos-main,5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail conformal threshold from benign validation only,False,0.9439865636971334,0.9116044932848406,0.9763686341094262,1.0,1.0,1.0,0.971036454411587,0.9536988174114613,0.9883740914117127,0.9419893403513642,0.9071670827538104,0.9768115979489179,0.99878,0.9953927369716586,1.0,0.9981625290623954,0.9930608918717402,1.0,0.06930144000000382,0.9766495509125336,results/01_main_effectiveness/final_results.csv; five-split full-stream size-head mean,True
Unicorn-Wget,Kairos,method-faithful current-environment adaptation,temporal/context prediction error for provenance anomaly detection,upstream notebooks and native databases do not expose common cached split,D:\model code\kairos-main\kairos-main,5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail conformal threshold from benign validation only,False,0.9712738398776135,0.935028276842283,1.0,0.78,0.44821771417285566,1.0,0.838658220184823,0.5987067802105193,1.0,0.7242320394383348,0.45527813423510244,0.9931859446415672,0.9833599999999999,0.9660207502094014,1.0,0.991389880390277,0.9821620555477936,1.0,0.06572461999999746,0.8997472296940625,results/01_main_effectiveness/final_results.csv; five-split attack-test-only full-stream mean,True
E3-CADETS-Causal,Kairos,method-faithful current-environment adaptation,temporal/context prediction error for provenance anomaly detection,upstream notebooks and native databases do not expose common cached split,D:\model code\kairos-main\kairos-main,5,CUDA neural training (NVIDIA GeForce RTX 3060 Laptop GPU),upper-tail empirical threshold from unlabeled temporal validation; labels not accessed,False,0.075,0.075,0.075,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.08955223880597014,0.08955223880597014,0.08955223880597014,0.09032125827964385,0.09032125827964385,0.09032125827964385,0.6859986176807276,0.6572051545337559,0.7147920808276992,0.04188095493730768,0.04128272141304691,0.04247918846156845,2.2644241199999984,0.6111111111111112,results/16_e3_gpu_trajectory_ablation/final_results.csv; relation-path context gate,True
StreamSpot,FLASH,method-faithful current-environment adaptation,compact provenance representation plus one-class outlier detector,notebook-specific preprocessing/dependencies unavailable in fixed environment,D:\model code\Flash-IDS-main\Flash-IDS-main,5,CPU statistical estimator in CUDA-enabled environment,upper-tail conformal threshold from benign validation only,False,0.9618943298961014,0.9362000677843465,0.9875885920078562,1.0,1.0,1.0,0.980486407667654,0.9671399426877709,0.9938328726475372,0.9609463720879627,0.9342170575002954,0.9876756866756301,1.0,1.0,1.0,1.0,1.0,1.0,0.22138274000000138,0.9766495509125336,results/01_main_effectiveness/final_results.csv; five-split full-stream size-head mean,False
